event_key,detected_at,last_seen,person,event,category,momentum,acceleration,spice,risk,youtube_saturation,opportunity,alert,angle,status,tts_forecast_hours,window_state,window_remaining_min,sources,video_count_6h,score_version
story-nathan-fielder,2026-09-23T15:07:21.236Z,2026-09-26T11:59:56.175Z,Nathan Fielder,"Nathan Fielder: ‘You Can See Everything’ Trailer: Nathan Fielder Lives With Elizabeth Holmes, Makes Her Cry and Interrogates H",tech,13,0,0,34,48,16,ARCHIVE,"The Nathan Fielder nathan fielder: ‘you can see everything’ trailer: nathan fielder lives with elizabeth holmes, makes her cry and interrogates h story is actually a money story — the other side of the fight",ARCHIVED,4.9,closed,-3989,news,19,v2
story-mark-zuckerberg,2026-09-24T00:45:10.256Z,2026-09-26T11:06:02.539Z,Mark Zuckerberg,"Mark Zuckerberg: Exclusive Mark Zuckerberg interview: New audio glasses, Muse and AI killing us all",tech,16,-12,0,64,63,13,ARCHIVE,"What the Mark Zuckerberg mark zuckerberg: predicts muse will become a ""personal superintelligence"" for billions. filings actually say — line by line — the other side of the fight",ARCHIVED,3.1,closed,-3465,news,25,v2
story-lloyd-harris,2026-09-26T10:08:54.099Z,2026-09-26T11:06:02.539Z,Lloyd Harris,"Lloyd Harris: Valentin Vacherot vs. Lloyd Harris prediction, odds, picks for ATP Chengdu Open 2026",scandal,32,4,9,64,3,27,ARCHIVE,"What the Lloyd Harris lloyd harris: valentin vacherot vs. lloyd harris prediction, odds, picks for atp chengdu open 2026 filings actually say — line by line — the other side of the fight",KEPT,3.1,closed,0,news|trends,1,v2
story-jack-haven-s,2026-09-26T09:42:44.587Z,2026-09-26T10:08:54.099Z,Jack Haven's,Jack Haven's: Plea for Work Reminds Us That The Majority of Actors Are Struggling,celebrity,18,-1,0,64,0,19,ARCHIVE,The Jack Haven's story is a proxy fight about something bigger — the other side of the fight,RESEARCH,6,unknown,184,news,0,v2
story-jack-haven,2026-09-22T22:48:47.435Z,2026-09-26T10:08:54.099Z,Jack Haven,Jack Haven: Netflix star Jack Haven issues desperate plea for work to keep SAG health insurance as deadline looms,celebrity,14,0,0,64,5,18,ARCHIVE,What the Jack Haven jack haven: needs work asap to qualify for health insurance: “i will do pretty much any job” filings actually say — line by line — the other side of the fight,ARCHIVED,3.1,closed,0,trends|news,2,v2
story-will-do,2026-09-26T10:08:54.099Z,2026-09-26T10:08:54.099Z,Will Do,Will Do: Jack Haven Needs Work ASAP to Qualify for Health Insurance: “I Will Do Pretty Much Any Job”,scandal,19,0,0,64,0,19,ARCHIVE,What the Will Do will do: jack haven needs work asap to qualify for health insurance: “i will do pretty much any job” filings actually say — line by line — the other side of the fight,RESEARCH,3.5,unknown,60,news,0,v2
story-plus-gets-free,2026-09-26T09:30:39.728Z,2026-09-26T09:42:44.587Z,Plus Gets Free,Plus Gets Free: PlayStation Plus Gets Free Perfect 10/10 Open-World Game,scandal,18,-1,0,64,0,19,ARCHIVE,What the Plus Gets Free plus gets free: playstation plus gets free perfect 10/10 open-world game filings actually say — line by line — the other side of the fight,RESEARCH,3.5,unknown,48,news,0,v2
story-sean-sakaida,2026-09-26T09:30:39.728Z,2026-09-26T09:42:44.587Z,Sean Sakaida,Sean Sakaida: trending now,tech,11,-1,0,64,0,15,ARCHIVE,The Sean Sakaida sean sakaida: trending now story is actually a money story — the other side of the fight,RESEARCH,7.5,unknown,288,trends,0,v2
story-kardashian-shares-photo,2026-09-26T08:55:49.779Z,2026-09-26T09:30:39.728Z,Kardashian Shares Photo,Kardashian Shares Photo: Kim Kardashian Shares Photo of Steamy Kiss with Lewis Hamilton Under the Eiffel Tower,scandal,18,-1,4,64,0,21,ARCHIVE,What the Kardashian Shares Photo kardashian shares photo: kim kardashian shares photo of steamy kiss with lewis hamilton under the eiffel tower filings actually say — line by line — the other side of the fight,RESEARCH,3.5,unknown,25,news,0,v2
story-lewis-hamilton,2026-09-26T08:05:32.983Z,2026-09-26T09:30:39.728Z,Lewis Hamilton,Lewis Hamilton: Kim Kardashian Shares Photo of Steamy Kiss with Lewis Hamilton Under the Eiffel Tower,scandal,17,-7,4,64,63,17,ARCHIVE,What the Lewis Hamilton lewis hamilton: kim kardashian shares photo of steamy kiss with lewis hamilton under the eiffel tower filings actually say — line by line — the other side of the fight,RESEARCH,2.3,closed,-97,trends|news,25,v2
